mean.1,mean.2,mean.3,var.1,var.2,var.3,mse.1,mse.2,mse.3
0.000133766,0.00034751,0.000347185,9.24E-10,3.89E-08,3.91E-08,1.88E-10,1.59E-09,1.59E-09
0.000190092,0.000673242,0.000672614,3.47E-09,2.69E-07,2.70E-07,3.96E-10,7.20E-09,7.20E-09
