mean.1,mean.2,mean.3,var.1,var.2,var.3,mse.1,mse.2,mse.3
0.000148487,0.000326659,0.000326116,9.71E-10,3.38E-08,3.40E-08,2.30E-10,1.40E-09,1.40E-09
0.0002008,0.000538908,0.000536814,3.75E-09,2.07E-07,2.09E-07,4.40E-10,4.96E-09,4.95E-09
